"Genesis 1:31","God saw all","God saw all that He had made, and it was very good. Evening came and then morning: the sixth day."
"Deuteronomy 16:17","Everyone must appear with a gift suited to his means","Everyone must appear with a gift suited to his means, according to the blessing the LORD your God has given you."
"Joshua 24:24","So the people said to Joshua","So the people said to Joshua, &ldquo;We will worship the LORD our God and obey Him.&rdquo;"
"1 Chronicles 16:9","Sing to Him; sing praise","Sing to Him; sing praise to Him; tell about all His wonderful works!"
"Psalm 56:3","When I am afraid","When I am afraid, I will trust in You."
"Psalm 119:11","I have treasured Your word","I have treasured Your word in my heart so that I may not sin against You."
"Proverbs 22:1","A good name","A good name is to be chosen over great wealth; favor is better than silver and gold."
"Isaiah 6:8","Then I heard the voice","Then I heard the voice of the Lord saying: Who should I send? Who will go for Us? I said: Here I am. Send me."
"Isaiah 45:5","I am Yahweh","I am Yahweh, and there is no other; there is no God but Me. I will strengthen you, though you do not know Me."
"Malachi 3:10","Bring the full tenth","&ldquo;Bring the full tenth into the storehouse so that there may be food in My house. Test Me in this way,&rdquo; says the LORD of Hosts. &ldquo;See if I will not open the floodgates of heaven and pour out a blessing for you without measure.&rdquo;"
"Matthew 28:19-20","Go, therefore, and make disciples of all nations","Go, therefore, and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, teaching them to observe everything I have commanded you. And remember, I am with you always, to the end of the age."
"Luke 2:52","And Jesus increased","And Jesus increased in wisdom and stature, and in favor with God and with people."
"Luke 19:10","For the Son of Man","For the Son of Man has come to seek and to save the lost."
"John 4:24","God is spirit","God is spirit, and those who worship Him must worship in spirit and truth."
"John 13:35","By this all people will know","By this all people will know that you are My disciples, if you have love for one another."
"Acts 4:12","There is salvation in no one else","There is salvation in no one else, for there is no other name under heaven given to people, and we must be saved by it."
"Romans 10:9","If you confess with your mouth","If you confess with your mouth, &ldquo;Jesus is Lord,&rdquo; and believe in your heart that God raised Him from the dead, you will be saved." 
"1 Corinthians 3:16","Don&rsquo;t you yourselves know","Don&rsquo;t you yourselves know that you are God&rsquo;s sanctuary and that the Spirit of God lives in you?"
"Ephesians 2:8","For you are saved by grace","For you are saved by grace through faith, and this is not from yourselves; it is God&rsquo;s gift."
"1 Thessalonians 5:18","Give thanks in everything","Give thanks in everything, for this is God&rsquo;s will for you in Christ Jesus."
"1 Timothy 4:12","Let no one despise","Let no one despise your youth; instead, you should be an example to the believers in speech, in conduct, in love, in faith, in purity."
"2 Timothy 2:15","Be diligent to present","Be diligent to present yourself approved to God, a worker who doesn&rsquo;t need to be ashamed, correctly teaching the word of truth."
"James 1:22","But be doers","But be doers of the word and not hearers only, deceiving yourselves."
"1 Peter 4:9","Be hospitable","Be hospitable to one another without complaining."
"1 John 4:21","And we have this command from Him","And we have this command from Him: The one who loves God must also love his brother."
