"GCWA1","Genesis 12:1","The Lord had said to Abram, &ldquo;Go from your country, your people and your father&rsquo;s household to the land I will show you."
"GCWA2","Genesis 12:2","&ldquo;I will make you into a great nation, and I will bless you; I will make your name great, and you will be a blessing."
"GCWA3","Genesis 12:3","I will bless those who bless you, and whoever curses you I will curse; and all peoples on earth will be blessed through you.&rdquo;"
"ASS1","Psalm 23:1","The Lord is my shepherd, I lack nothing."
"ASS2","Psalm 23:2","He makes me lie down in green pastures, he leads me beside quiet waters,"
"ASS3","Psalm 23:3","he refreshes my soul. He guides me along the right paths for his name&rsquo;s sake."
"ASS4","Psalm 23:4","Even though I walk through the darkest valley, I will fear no evil, for you are with me; your rod and your staff, they comfort me."
"ASS5","Psalm 23:5","You prepare a table before me in the presence of my enemies. You anoint my head with oil; my cup overflows."
"ASS6","Psalm 23:6","Surely your goodness and love will follow me all the days of my life, and I will dwell in the house of the Lord forever."
"TSS1","Isaiah 53:1","Who has believed our message and to whom has the arm of the Lord been revealed?"
"TSS2","Isaiah 53:2","He grew up before him like a tender shoot, and like a root out of dry ground. He had no beauty or majesty  to attract us to him, nothing in his appearance that we should desire him."
"TSS3","Isaiah 53:3","He was despised and rejected by mankind, a man of suffering, and familiar with pain. Like one from whom people hide their faces he was despised, and we held him in low esteem."
"TSS4","Isaiah 53:4","Surely he took up our pain and bore our suffering, yet we considered him punished by God, stricken by him, and afflicted."
"TSS5","Isaiah 53:5","But he was pierced for our transgressions, he was crushed for our iniquities; the punishment that brought us peace was on him, and by his wounds we are healed."
"TSS6","Isaiah 53:6","We all, like sheep, have gone astray, each of us has turned to our own way; and the Lord has laid on him the iniquity of us all."
"TSS7","Isaiah 53:7","He was oppressed and afflicted, yet he did not open his mouth; he was led like a lamb to the slaughter, and as a sheep before its shearers is silent, so he did not open his mouth."
"TSS8","Isaiah 53:8","By oppression and judgment he was taken away. Yet who of his generation protested? For he was cut off from the land of the living; for the transgression of my people he was punished."
"TSS9","Isaiah 53:9","He was assigned a grave with the wicked, and with the rich in his death, though he had done no violence, nor was any deceit in his mouth."
"TSS10","Isaiah 53:10","Yet it was the Lord&rsquo;s will to crush him and cause him to suffer, and though the Lord makes his life an offering for sin, he will see his offspring and prolong his days, and the will of the Lord will prosper in his hand."
"TSS11","Isaiah 53:11","After he has suffered, he will see the light of life and be satisfied ; by his knowledge my righteous servant will justify many, and he will bear their iniquities."
"TSS12","Isaiah 53:12","Therefore I will give him a portion among the great, and he will divide the spoils with the strong, because he poured out his life unto death, and was numbered with the transgressors. For he bore the sin of many, and made intercession for the transgressors."
"TTA1","Matthew 10:2","These are the names of the twelve apostles: first, Simon (who is called Peter) and his brother Andrew; James son of Zebedee, and his brother John;"
"TTA2","Matthew 10:3","Philip and Bartholomew; Thomas and Matthew the tax collector; James son of Alphaeus, and Thaddaeus;"
"TTA3","Matthew 10:4","Simon the Zealot and Judas Iscariot, who betrayed him."
"TROJ1","Matthew 28:1","After the Sabbath, at dawn on the first day of the week, Mary Magdalene and the other Mary went to look at the tomb."
"TROJ2","Matthew 28:2","There was a violent earthquake, for an angel of the Lord came down from heaven and, going to the tomb, rolled back the stone and sat on it."
"TROJ3","Matthew 28:3","His appearance was like lightning, and his clothes were white as snow."
"TROJ4","Matthew 28:4","The guards were so afraid of him that they shook and became like dead men."
"TROJ5","Matthew 28:5","The angel said to the women, &ldquo;Do not be afraid, for I know that you are looking for Jesus, who was crucified."
"TROJ6","Matthew 28:6","He is not here; he has risen, just as he said. Come and see the place where he lay."
"TROJ7","Matthew 28:7","Then go quickly and tell his disciples: &lsquo;He has risen from the dead and is going ahead of you into Galilee. There you will see him.&rsquo; Now I have told you.&rdquo;"
"TROJ8","Matthew 28:8","So the women hurried away from the tomb, afraid yet filled with joy, and ran to tell his disciples."
"TROJ9","Matthew 28:9","Suddenly Jesus met them. &ldquo;Greetings,&rdquo; he said. They came to him, clasped his feet and worshiped him."
"TROJ10","Matthew 28:10","Then Jesus said to them, &ldquo;Do not be afraid. Go and tell my brothers to go to Galilee; there they will see me.&rdquo;"
"TROJ11","Matthew 28:11","While the women were on their way, some of the guards went into the city and reported to the chief priests everything that had happened."
"TROJ12","Matthew 28:12","When the chief priests had met with the elders and devised a plan, they gave the soldiers a large sum of money,"
"TROJ13","Matthew 28:13","telling them, &ldquo;You are to say, &lsquo;His disciples came during the night and stole him away while we were asleep.&rsquo;"
"TROJ14","Matthew 28:14","If this report gets to the governor, we will satisfy him and keep you out of trouble.&rdquo;"
"TROJ15","Matthew 28:15","So the soldiers took the money and did as they were instructed. And this story has been widely circulated among the Jews to this very day."
"TROJ16","Matthew 28:16","Then the eleven disciples went to Galilee, to the mountain where Jesus had told them to go."
"TROJ17","Matthew 28:17","When they saw him, they worshiped him; but some doubted."
"TROJ18","Matthew 28:18","Then Jesus came to them and said, &ldquo;All authority in heaven and on earth has been given to me."
"TROJ19","Matthew 28:19","Therefore go and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,"
"TROJ20","Matthew 28:20","and teaching them to obey everything I have commanded you. And surely I am with you always, to the very end of the age.&rdquo;"
"TPOTGS1","Luke 10:25","On one occasion an expert in the law stood up to test Jesus. &ldquo;Teacher,&rdquo; he asked, &ldquo;what must I do to inherit eternal life?&rdquo;"
"TPOTGS2","Luke 10:26"," &ldquo;What is written in the Law?&rdquo; he replied. &ldquo;How do you read it?&rdquo;"
"TPOTGS3","Luke 10:27","He answered, &ldquo; &lsquo;Love the Lord your God with all your heart and with all your soul and with all your strength and with all your mind&rsquo; ; and, &lsquo;Love your neighbor as yourself.&rsquo; &rdquo;"
"TPOTGS4","Luke 10:28"," &ldquo;You have answered correctly,&rdquo; Jesus replied. &ldquo;Do this and you will live.&rdquo;"
"TPOTGS5","Luke 10:29","But he wanted to justify himself, so he asked Jesus, &ldquo;And who is my neighbor?&rdquo;"
"TPOTGS6","Luke 10:30","In reply Jesus said: &ldquo;A man was going down from Jerusalem to Jericho, when he was attacked by robbers. They stripped him of his clothes, beat him and went away, leaving him half dead."
"TPOTGS7","Luke 10:31","A priest happened to be going down the same road, and when he saw the man, he passed by on the other side."
"TPOTGS8","Luke 10:32","So too, a Levite, when he came to the place and saw him, passed by on the other side."
"TPOTGS9","Luke 10:33","But a Samaritan, as he traveled, came where the man was; and when he saw him, he took pity on him."
"TPOTGS10","Luke 10:34","He went to him and bandaged his wounds, pouring on oil and wine. Then he put the man on his own donkey, brought him to an inn and took care of him."
"TPOTGS11","Luke 10:35","The next day he took out two denarii and gave them to the innkeeper. &lsquo;Look after him,&rsquo; he said, &lsquo;and when I return, I will reimburse you for any extra expense you may have.&rsquo;"
"TPOTGS12","Luke 10:36"," &ldquo;Which of these three do you think was a neighbor to the man who fell into the hands of robbers?&rdquo;"
"TPOTGS13","Luke 10:37","The expert in the law replied, &ldquo;The one who had mercy on him.&rdquo; Jesus told him, &ldquo;Go and do likewise.&rdquo;"
"JFM1","John 2:1","On the third day a wedding took place at Cana in Galilee. Jesus&rsquo; mother was there,"
"JFM2","John 2:2","and Jesus and his disciples had also been invited to the wedding."
"JFM3","John 2:3","When the wine was gone, Jesus&rsquo; mother said to him, &ldquo;They have no more wine.&rdquo;"
"JFM4","John 2:4"," &ldquo;Woman,  why do you involve me?&rdquo; Jesus replied. &ldquo;My hour has not yet come.&rdquo;"
"JFM5","John 2:5","His mother said to the servants, &ldquo;Do whatever he tells you.&rdquo;"
"JFM6","John 2:6","Nearby stood six stone water jars, the kind used by the Jews for ceremonial washing, each holding from twenty to thirty gallons."
"JFM7","John 2:7","Jesus said to the servants, &ldquo;Fill the jars with water&rdquo;; so they filled them to the brim."
"JFM8","John 2:8","Then he told them, &ldquo;Now draw some out and take it to the master of the banquet.&rdquo; They did so,"
"JFM9","John 2:9","and the master of the banquet tasted the water that had been turned into wine. He did not realize where it had come from, though the servants who had drawn the water knew. Then he called the bridegroom aside"
"JFM10","John 2:10","and said, &ldquo;Everyone brings out the choice wine first and then the cheaper wine after the guests have had too much to drink; but you have saved the best till now.&rdquo;"
"JFM11","John 2:11","What Jesus did here in Cana of Galilee was the first of the signs through which he revealed his glory; and his disciples believed in him."
"TWOTHS1","John 16:5","but now I am going to him who sent me. None of you asks me, &lsquo;Where are you going?&rsquo;"
"TWOTHS2","John 16:6","Rather, you are filled with grief because I have said these things."
"TWOTHS3","John 16:7","But very truly I tell you, it is for your good that I am going away. Unless I go away, the Advocate will not come to you; but if I go, I will send him to you."
"TWOTHS4","John 16:8","When he comes, he will prove the world to be in the wrong about sin and righteousness and judgment:"
"TWOTHS5","John 16:9","about sin, because people do not believe in me;"
"TWOTHS6","John 16:10","about righteousness, because I am going to the Father, where you can see me no longer;"
"TWOTHS7","John 16:11","and about judgment, because the prince of this world now stands condemned."
"TWOTHS8","John 16:12"," &ldquo;I have much more to say to you, more than you can now bear."
"TWOTHS9","John 16:13","But when he, the Spirit of truth, comes, he will guide you into all the truth. He will not speak on his own; he will speak only what he hears, and he will tell you what is yet to come."
"TWOTHS10","John 16:14","He will glorify me because it is from me that he will receive what he will make known to you."
"TWOTHS11","John 16:15","All that belongs to the Father is mine. That is why I said the Spirit will receive from me what he will make known to you.&rdquo;"
"TCOS1","Acts 9:1","Meanwhile, Saul was still breathing out murderous threats against the Lord&rsquo;s disciples. He went to the high priest"
"TCOS2","Acts 9:2","and asked him for letters to the synagogues in Damascus, so that if he found any there who belonged to the Way, whether men or women, he might take them as prisoners to Jerusalem."
"TCOS3","Acts 9:3","As he neared Damascus on his journey, suddenly a light from heaven flashed around him."
"TCOS4","Acts 9:4","He fell to the ground and heard a voice say to him, &ldquo;Saul, Saul, why do you persecute me?&rdquo;"
"TCOS5","Acts 9:5","&ldquo;Who are you, Lord?&rdquo; Saul asked. &ldquo;I am Jesus, whom you are persecuting,&rdquo; he replied."
"TCOS6","Acts 9:6","&ldquo;Now get up and go into the city, and you will be told what you must do.&rdquo;"
"TCOS7","Acts 9:7","The men traveling with Saul stood there speechless; they heard the sound but did not see anyone."
"TCOS8","Acts 9:8","Saul got up from the ground, but when he opened his eyes he could see nothing. So they led him by the hand into Damascus."
"TCOS9","Acts 9:9","For three days he was blind, and did not eat or drink anything."
"TCOS10","Acts 9:10","In Damascus there was a disciple named Ananias. The Lord called to him in a vision, &ldquo;Ananias!&rdquo; &ldquo;Yes, Lord,&rdquo; he answered."
"TCOS11","Acts 9:11","The Lord told him, &ldquo;Go to the house of Judas on Straight Street and ask for a man from Tarsus named Saul, for he is praying."
"TCOS12","Acts 9:12","In a vision he has seen a man named Ananias come and place his hands on him to restore his sight.&rdquo;"
"TCOS13","Acts 9:13","&ldquo;Lord,&rdquo; Ananias answered, &ldquo;I have heard many reports about this man and all the harm he has done to your holy people in Jerusalem."
"TCOS14","Acts 9:14","And he has come here with authority from the chief priests to arrest all who call on your name.&rdquo;"
"TCOS15","Acts 9:15","But the Lord said to Ananias, &ldquo;Go! This man is my chosen instrument to proclaim my name to the Gentiles and their kings and to the people of Israel."
"TCOS16","Acts 9:16","I will show him how much he must suffer for my name.&rdquo;"
"TCOS17","Acts 9:17","Then Ananias went to the house and entered it. Placing his hands on Saul, he said, &ldquo;Brother Saul, the Lord—Jesus, who appeared to you on the road as you were coming here—has sent me so that you may see again and be filled with the Holy Spirit.&rdquo;"
"TCOS18","Acts 9:18","Immediately, something like scales fell from Saul&rsquo;s eyes, and he could see again. He got up and was baptized,"
"TCOS19","Acts 9:19","and after taking some food, he regained his strength. Saul in Damascus and Jerusalem Saul spent several days with the disciples in Damascus."
"TCOS20","Acts 9:20","At once he began to preach in the synagogues that Jesus is the Son of God."
"TCOS21","Acts 9:21","All those who heard him were astonished and asked, &ldquo;Isn&rsquo;t he the man who raised havoc in Jerusalem among those who call on this name? And hasn&rsquo;t he come here to take them as prisoners to the chief priests?&rdquo;"
"TCOS22","Acts 9:22","Yet Saul grew more and more powerful and baffled the Jews living in Damascus by proving that Jesus is the Messiah."
"TCOS23","Acts 9:23","After many days had gone by, there was a conspiracy among the Jews to kill him,"
"TCOS24","Acts 9:24","but Saul learned of their plan. Day and night they kept close watch on the city gates in order to kill him."
"TCOS25","Acts 9:25","But his followers took him by night and lowered him in a basket through an opening in the wall."
"TCOS26","Acts 9:26","When he came to Jerusalem, he tried to join the disciples, but they were all afraid of him, not believing that he really was a disciple."
"TCOS27","Acts 9:27","But Barnabas took him and brought him to the apostles. He told them how Saul on his journey had seen the Lord and that the Lord had spoken to him, and how in Damascus he had preached fearlessly in the name of Jesus."
"TCOS28","Acts 9:28","So Saul stayed with them and moved about freely in Jerusalem, speaking boldly in the name of the Lord."
"TCOS29","Acts 9:29","He talked and debated with the Hellenistic Jews, but they tried to kill him."
"TCOS30","Acts 9:30","When the believers learned of this, they took him down to Caesarea and sent him off to Tarsus."
"TLC1","1 Corinthians 13:1","If I speak in the tongues of men or of angels, but do not have love, I am only a resounding gong or a clanging cymbal."
"TLC2","1 Corinthians 13:2","If I have the gift of prophecy and can fathom all mysteries and all knowledge, and if I have a faith that can move mountains, but do not have love, I am nothing."
"TLC3","1 Corinthians 13:3","If I give all I possess to the poor and give over my body to hardship that I may boast, but do not have love, I gain nothing."
"TLC4","1 Corinthians 13:4","Love is patient, love is kind. It does not envy, it does not boast, it is not proud."
"TLC5","1 Corinthians 13:5","It does not dishonor others, it is not self-seeking, it is not easily angered, it keeps no record of wrongs."
"TLC6","1 Corinthians 13:6","Love does not delight in evil but rejoices with the truth."
"TLC7","1 Corinthians 13:7","It always protects, always trusts, always hopes, always perseveres."
"TLC8","1 Corinthians 13:8","Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away."
"TLC9","1 Corinthians 13:9","For we know in part and we prophesy in part,"
"TLC10","1 Corinthians 13:10","but when completeness comes, what is in part disappears."
"TLC11","1 Corinthians 13:11","When I was a child, I talked like a child, I thought like a child, I reasoned like a child. When I became a man, I put the ways of childhood behind me."
"TLC12","1 Corinthians 13:12","For now we see only a reflection as in a mirror; then we shall see face to face. Now I know in part; then I shall know fully, even as I am fully known."
"TLC13","1 Corinthians 13:13","And now these three remain: faith, hope and love. But the greatest of these is love."
