"Genesis 1:31","God saw all","God saw all that he had made, and it was very good. And there was evening, and there was morning &mdash; the sixth day."
"Deuteronomy 16:17","Each of you must bring a gift in proportion","Each of you must bring a gift in proportion to the way the LORD your God has blessed you."
"Joshua 24:24","And the people said to Joshua","And the people said to Joshua, &ldquo;We will serve the LORD our God and obey him.&rdquo;"
"1 Chronicles 16:9","Sing to him, sing praise","Sing to him, sing praise to him; tell of all his wonderful acts."
"Psalm 56:3","When I am afraid","When I am afraid, I put my trust in you."
"Psalm 119:11","I have hidden your word","I have hidden your word in my heart that I might not sin against you."
"Proverbs 22:1","A good name","A good name is more desirable than great riches; to be esteemed is better than silver or gold."
"Isaiah 6:8","Then I heard the voice","Then I heard the voice of the Lord saying, &ldquo;Whom shall I send? And who will go for us?&rdquo; And I said, &ldquo;Here am I. Send me!&rdquo;"
"Isaiah 45:5","I am the LORD","I am the LORD, and there is no other; apart from me there is no God. I will strengthen you, though you have not acknowledged me."
"Malachi 3:10","Bring the whole tithe","&ldquo;Bring the whole tithe into the storehouse, that there may be food in my house. Test me in this,&rdquo; says the LORD Almighty, &ldquo;and see if I will not throw open the floodgates of heaven and pour out so much blessing that there will not be room enough to store it.&rdquo;"
"Matthew 28:19-20","Therefore go and make disciples of all nations","&ldquo;Therefore go and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, and teaching them to obey everything I have commanded you. And surely I am with you always, to the very end of the age.&rdquo;"
"Luke 2:52","And Jesus grew","And Jesus grew in wisdom and stature, and in favor with God and man."
"Luke 19:10","For the Son of Man","&ldquo;For the Son of Man came to seek and to save the lost.&rdquo;"
"John 4:24","God is spirit","&ldquo;God is spirit, and his worshipers must wor-ship in the Spirit and in truth.&rdquo;"
"John 13:35","By this everyone will know","&ldquo;By this everyone will know that you are my disciples, if you love one another.&rdquo;"
"Acts 4:12","Salvation is found in no one else","Salvation is found in no one else, for there is no other name under heaven given to man-kind by which we must be saved."
"Romans 10:9","If you declare with your mouth","If you declare with your mouth, &ldquo;Jesus is Lord,&rdquo; and believe in your heart that God raised him from the dead, you will be saved."
"1 Corinthians 3:16","Don&rsquo;t you know","Don&rsquo;t you know that you yourselves are God&rsquo;s temple and that God&rsquo;s Spirit dwells in your midst?"
"Ephesians 2:8","For it is by grace","For it is by grace you have been saved, through faith &mdash; and this is not from your-selves, it is the gift of God."
"1 Thessalonians 5:18","Give thanks in all circumstances","Give thanks in all circumstances; for this is God&rsquo;s will for you in Christ Jesus."
"1 Timothy 4:12","Don&rsquo;t let anyone look down on you","Don&rsquo;t let anyone look down on you because you are young, but set an example for the believers in speech, in conduct, in love, in faith and in purity."
"2 Timothy 2:15","Do your best to present","Do your best to present yourself to God as one approved, a worker who does not need to be ashamed and who correctly handles the word of truth."
"James 1:22","Do not merely listen","Do not merely listen to the word, and so deceive yourselves. Do what it says."
"1 Peter 4:9","Offer hospitality","Offer hospitality to one another without grumbling."
"1 John 4:21","And he has given us this command","And he has given us this command: Anyone who loves God must also love their brother and sister."
