Genesis 1:1,In the beginning,"In the beginning, God created the heavens and the earth."
Exodus 20:12,Honor your father,"Honor your father and your mother, that your days may be long in the land that the LORD your God is giving you."
Psalm 118:24,This is the day that the LORD has made;,This is the day that the LORD has made; let us rejoice and be glad in it.
Psalm 119:105,Your word is a lamp to my feet,Your word is a lamp to my feet and a light to my path.
Proverbs 3:5-6,Trust in the L ORD with all your heart,"Trust in the LORD with all your heart, and do not lean on your own understanding. In all your ways acknowledge him, and he will make straight your paths."
Proverbs 15:1,A soft answer turns away wrath,"A soft answer turns away wrath, but a harsh word stirs up anger."
Isaiah 9:6,"For to us a child is born, to us a son is given","For to us a child is born, to us a son is given; and the government shall be upon his shoulder, and his name shall be called Wonderful Counselor, Mighty God, Everlasting Father, Prince of Peace."
Isaiah 40:8,The grass withers,"The grass withers, the flower fades, but the word of our God will stand forever."
Nahum 1:7,The LORD is Good,"The LORD is good, a stronghold in the day of trouble; he knows those who take refuge in him."
Matthew 4:10,"Then Jesus said to him, ""Be gone, Satan! For it is written,","Then Jesus said to him, ""Be gone, Satan! For it is written,  'You shall worship the Lord your God and him only shall you serve.'"""
Matthew 5:16,"In the same way, let your light shine","In the same way, let your light shine before others, so that they may see your good works and give glory to your Father who is in heaven. "
Luke 6:37,"Judge not, and you will not be judged","Judge not, and you will not be judged; condemn not, and you will not be condemned; forgive, and you will be forgiven;"
Luke 11:9,"And I tell you, ask, and it will be given to you","And I tell you, ask, and it will be given to you; seek, and you will find; knock, and it will be opened to you."
John 3:16,For God so loved the world,"For God so loved the world, that he gave his only Son, that whoever believes in him should not perish but have eternal life."
John 15:12,This is my commandment,"This is my commandment, that you love one another as I have loved you."
Acts 16:31,"And they said, Believe in the Lord Jesus","And they said, ""Believe in the Lord Jesus, and you will be saved, you and your household."""
Romans 8:28,And we know that for those who love God,"And we know that for those who love God all things work together for good, for those who are called according to his purpose."
Romans 12:1,"I appeal to you therefore, brothers, by the mercies of God","I appeal to you therefore, brothers, by the mercies of God, to present your bodies as a living sacrifice, holy and acceptable to God, which is your spiritual worship."
1 Corinthians 4:2,"Moreover, it is required","Moreover, it is required of stewards that they be found trustworthy."
Ephesians 4:32,Be kind to one another,"Be kind to one another, tenderhearted, forgiving one another, as God in Christ forgave you."
Colossians 3:23,Whatever you do,"Whatever you do, work heartily, as for the Lord and not for men, "
2 Timothy 1:7,for God gave us a spirit not of fear,for God gave us a spirit not of fear but of power and love and self-control.
2 Timothy 3:16,All Scripture is breathed out by God ,"All Scripture is breathed out by God and profitable for teaching, for reproof, for correction, and for training in righteousness,"
1 John 1:9,If we confess our sins,"If we confess our sins, he is faithful and just to forgive us our sins and to cleanse us from all unrighteousness."
Revelation 4:11,"Worthy are you, our Lord and God","""Worthy are you, our Lord and God, to receive glory and honor and power, for you created all things, and by your will they existed and were created."""
