"The Ten Commandments","Exodus 20:3-17","Exodus 20:",3,17
"A Psalm of Praise","Psalm 100","Psalm 100:",1,5
"The Greatness of God","Isaiah 40","Isaiah 40:",1,31
"The Temptation of Jesus","Matthew 4:1-11","Matthew 4:",1,11
"The Sermon on the Mount","Matthew 5-7","Matthew ",1,111
"The Parable of the Sower","Mark 4:1-20","Mark 4:",1,20
"The First Lord's Supper","Luke 22:15-20","Luke 22:",15,20
"Jesus and Nicodemus","John 3:1-21","John 3:",1,21
"The Crucifixion","John 19","John 19:",1,41
"The Faith Chapter","Hebrews 11","Hebrews 11:",1,40
