Genesis 1:1,In the beginning,In the beginning God created the heaven and the earth.
Exodus 20:12,Honour thy father,Honour thy father and thy mother: that thy days may be long upon the land which the Lord thy God giveth thee.
Psalm 118:24,This is the day which the Lord hath made,This is the day which the Lord hath made; we will rejoice and be glad in it.
Psalm 119:105,Thy word is a lamp unto my feet,"Thy word is a lamp unto my feet, and a light unto my path."
Proverbs 3:5-6,Trust in the LORD with all thine heart,"Trust in the LORD with all thine heart; and lean not unto thine own understanding. In all thy ways acknowledge him, and he shall direct thy paths."
Proverbs 15:1,A soft answer turneth away wrath,A soft answer turneth away wrath: but grievous words stir up anger.
Isaiah 9:6,"For unto us a child is born, unto us a son is given","For unto us a child is born, unto us a son is given: and the government shall be upon his shoulder: and his name shall be called Wonderful, Counsellor, The mighty God, The everlasting Father, The Prince of Peace."
Isaiah 40:8,The grass withereth,"The grass withereth, the flower fadeth: but the word of our God shall stand for ever."
Nahum 1:7,The LORD is Good,"The LORD is good, a strong hold in the day of trouble; and he knoweth them that trust in him"
Matthew 4:10,"Then saith Jesus unto him, Get thee hence, Satan: for it is written","Then saith Jesus unto him, Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve."
Matthew 5:16,Let your light so shine,"Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven."
Luke 6:37,"Judge not, and ye shall not be judged","Judge not, and ye shall not be judged: condemn not, and ye shall not be condemned: forgive, and ye shall be forgiven."
Luke 11:9,"And I say unto you, Ask, and it shall be given you","And I say unto you, Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you."
John 3:16,For God so loved the world,"For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life."
John 15:12,This is my commandment,"This is my commandment, That ye love one another, as I have loved you."
Acts 16:31,"And they said, Believe on the Lord Jesus Christ","And they said, Believe on the Lord Jesus Christ, and thou shalt be saved, and thy house."
Romans 8:28,And we know that all things work together for good,"And we know that all things work together for good to them that love God, to them who are the called according to his purpose."
Romans 12:1,"I beseech you therefore, brethren, by the mercies of God","I beseech you therefore, brethren, by the mercies of God, that ye present your bodies a living sacrifice, holy, acceptable unto God, which is your reasonable service."
1 Corinthians 4:2,Moreover it is required,"Moreover it is required in stewards, that a man be found faithful."
Ephesians 4:32,"And be ye kind one to another, tenderhearted","And be ye kind one to another, tenderhearted, forgiving one another, even as God for Christ’s sake hath forgiven you."
Colossians 3:23,And whatsoever ye do,"And whatsoever ye do, do it heartily, as to the Lord, and not unto men."
2 Timothy 1:7,For God hath not given us the spirit of fear,"For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind."
2 Timothy 3:16,All scripture is given by inspiration of God,"All scripture is given by inspiration of God, and is profitable for doctrine, for reproof, for correction, for instruction in righteousness."
1 John 1:9,If we confess our sins,"If we confess our sins, he is faithful and just to forgive us our sins, and to cleanse us from all unrighteousness."
Revelation 4:11,"Thou art worthy, O Lord","Thou art worthy, O Lord, to receive glory and honour and power: for thou hast created all things, and for thy pleasure they are and were created."
